,date
https://www.npr.org/sections/coronavirus-live-updates/2020/10/14/923721544/sharp-rise-in-drug-overdose-deaths-seen-during-1st-few-months-of-pandemic,"New data from the CDC show more than 19,000 Americans died from drug overdoses during the first three months of 2020 with the country on pace to set a grim new record.",,20201015-1030
https://www.npr.org/2020/10/14/923643672/who-s-had-it-back-on-trail-trump-touts-his-own-bout-with-the-coronavirus,"Now out of the hospital and back on the campaign trail, President Trump has been downplaying the risks of catching the virus, a new twist in his defense of how the White House handled the pandemic.",,20201015-1030
https://www.npr.org/2020/10/14/923306264/you-cannot-serve-both-god-and-money-vatican-s-financial-scandal-takes-new-twist,"Italian police arrested a woman linked to a cardinal fired by Pope Francis, the latest development in an investigation into alleged financial crimes involving the Vatican.",,20201015-1030
https://www.npr.org/sections/health-shots/2020/09/01/816707182/map-tracking-the-spread-of-the-coronavirus-in-the-u-s,"View NPR's maps and graphics to see where COVID-19 is hitting hardest in the U.S., which state outbreaks are growing and which are leveling off.",,20201015-1030
https://www.npr.org/sections/goatsandsoda/2020/03/30/822491838/coronavirus-world-map-tracking-the-spread-of-the-outbreak,Coronavirus World Map: Tracking The Spread Of The Outbreak,,20201015-1030
https://www.npr.org/2020/10/15/923637375/takeaways-from-amy-coney-barretts-judiciary-confirmation-hearings,"President Trump's nominee deflected answering most questions, citing precedent that she can't weigh in on issues she may rule on. Weeks before the election Democrats largely honed in on health care.",,20201015-1100
https://www.npr.org/2020/10/15/923793792/house-democrats-campaign-committee-launches-blitz-targeting-black-voters,House Democrats' Campaign Committee Launches Blitz Targeting Black Voters,,20201015-1100
https://www.npr.org/2020/10/14/923766097/facebook-and-twitter-limit-sharing-new-york-post-story-about-joe-biden,Facebook And Twitter Limit Sharing 'New York Post' Story About Joe Biden,,20201015-1100
https://www.npr.org/2020/10/15/923787027/failed-by-the-courts-texans-hoping-to-vote-by-mail-have-to-hit-the-polls-instead,'Failed By The Courts': Texans Hoping To Vote By Mail Have To Hit The Polls Instead,,20201015-1100
https://www.npr.org/2020/10/13/923405080/lyrics-on-trial-mac-phipps-pt-2,"The rapper Mac is serving a 30-year sentence for a murder someone else confessed to. In this episode, he reflects on how his lyrics were used against him, and a previously unknown witness comes forward.",,20201015-1100
https://www.npr.org/sections/health-shots/2020/10/15/923349314/when-false-information-goes-viral-covid-19-patient-groups-fight-back,Health communication experts say that misinformation spread through support groups can undermine trust in medicine and science. But some patients work to counter falsehoods with facts.,,20201015-1100
https://www.npr.org/2020/10/15/923592572/the-end-of-oil-battle-lines-drawn-as-industry-grapples-with-energys-future,The pandemic is adding renewed urgency to a critical debate: Just how quickly can the planet reduce its dependence on oil?,,20201015-1100
