source,abcnews,breitbart,cnn,dailycaller,foxnews,washingtonpost
L7_dailycaller,-0.06607666183452222,0.07120206798378016,-0.03902440881590394,1.0,0.9077470174562177,-0.0720450624293611
L7_foxnews,-0.09070652507790565,0.025514706348138596,-0.053570631727356044,0.9022013307156176,0.9930225843678737,-0.0988996278043496
L7_washingtonpost,0.3670965989085562,-0.22675582816012552,0.30951038179976736,-0.13976503334882434,-0.18030164122603912,0.44555890127219266
L8_abcnews,0.383552135821803,-0.6483732278852408,-0.10094433967565158,-0.1418145544495476,-0.1829455930738917,-0.029647987876764884
L8_breitbart,-0.24885810765906755,0.6309155655424312,-0.3895234207997847,-0.2015419700823528,-0.14850764235010666,-0.4047791457701328
L8_cnn,-0.06745924668712208,-0.010359890249630715,0.6972166887783959,-0.055971707854955664,-0.07220540464714008,0.43671814571833617
L8_dailycaller,-0.06607666183452222,0.07120206798378016,-0.03902440881590394,1.0,0.9077470174562177,-0.0720450624293611
L8_foxnews,-0.09070652507790565,0.025514706348138596,-0.053570631727356044,0.9022013307156176,0.9930225843678737,-0.0988996278043496
L8_washingtonpost,0.11779034308962529,-0.23266425466852322,0.30951038179976736,-0.13976503334882434,-0.18030164122603912,0.4455589012721927
L9_abcnews,0.40669991312779197,-0.6713197462188102,-0.10486601939000467,-0.1473240388165938,-0.19005301507985498,-0.011042650286774269
L9_breitbart,-0.2109050398539593,0.6238308160860369,-0.40046692808292805,-0.17977571846956747,-0.03128373889017194,-0.2578603363186492
L9_cnn,-0.06745924668712208,-0.010359890249630715,0.6972166887783959,-0.055971707854955664,-0.07220540464714008,0.6068083708928469
L9_dailycaller,-0.06607666183452222,0.07120206798378016,-0.03902440881590394,1.0,0.9077470174562177,-0.0720450624293611
L9_foxnews,-0.09070652507790565,0.025514706348138596,-0.053570631727356044,0.9022013307156176,0.9930225843678737,-0.0988996278043496
L9_washingtonpost,-0.1036029291133906,-0.3198728363336375,0.32643272171656534,-0.13331348354464992,-0.171978922801603,0.505415958221265
L10_abcnews,0.4066999131277921,-0.6713197462188102,0.12115588647971419,-0.1473240388165938,-0.19005301507985498,0.2758313071632539
L10_breitbart,-0.22335667911362722,0.6068103338649948,-0.22779631258638175,-0.05930760612165791,0.08373813688711076,-0.08150510266852187
L10_cnn,-0.06745924668712208,0.05352609962309178,0.6972166887783959,-0.055971707854955664,-0.07220540464714008,0.6068083708928468
L10_dailycaller,-0.06607666183452222,0.07120206798378016,-0.03902440881590394,1.0,0.9077470174562177,-0.0720450624293611
L10_foxnews,-0.09070652507790565,0.025514706348138596,-0.053570631727356044,0.9022013307156176,0.9930225843678737,-0.0988996278043496
L10_washingtonpost,-0.16067451785575454,-0.2833535410566679,0.32643272171656534,-0.13331348354464992,-0.171978922801603,0.505415958221265
L11_abcnews,0.4066999131277921,-0.6272401887918432,0.15882620412466736,-0.14732403881659384,-0.190053015079855,0.3019107578405291
L11_breitbart,-0.30127647366385246,0.5785182543826558,-0.13129556746923993,0.1067375829540432,0.19332768394905644,-0.03312688163839287
L11_cnn,-0.06745924668712207,0.08546909455945305,0.6972166887783959,-0.05597170785495566,-0.07220540464714006,0.43671814571833617
L11_dailycaller,-0.06607666183452222,0.07120206798378016,-0.03902440881590394,1.0,0.9077470174562177,-0.0720450624293611
L11_foxnews,-0.09070652507790565,0.025514706348138596,-0.053570631727356044,0.9022013307156176,0.9930225843678737,-0.0988996278043496
L11_washingtonpost,-0.16067451785575454,-0.24074769656686992,0.32643272171656534,-0.13331348354464992,-0.16091245298654333,0.505415958221265
L12_abcnews,0.4066999131277921,-0.5611208526513924,0.3471777923494325,-0.14732403881659384,-0.190053015079855,0.43230801122690476
L12_breitbart,-0.22297389321803254,0.5577964485424699,-0.11352310622122853,0.09569171751613578,0.14088896177659974,0.0523952797944132
L12_cnn,-0.06745924668712207,0.08546909455945305,0.6972166887783959,-0.05597170785495566,-0.07220540464714006,0.4367181457183361
L12_dailycaller,-0.06607666183452222,0.07120206798378016,-0.03902440881590394,1.0,0.9077470174562177,-0.0720450624293611
L12_foxnews,0.09402401564987775,0.007911484952087263,-0.05923478471417257,0.8796866185474869,0.9665222644003226,-0.10935652562616462
L12_washingtonpost,-0.16067451785575454,-0.24379097117328408,0.32643272171656534,-0.13331348354464992,-0.10558010391124498,0.505415958221265
